leftharpoonupbar u295a
barrightharpoonup u295b
upharpoonrightbar u295c
bardownharpoonright u295d
leftharpoondownbar u295e
barrightharpoondown u295f
upharpoonleftbar u2960
bardownharpoonleft u2961
leftharpoonsupdown u2962
upharpoonsleftright u2963
rightharpoonsupdown u2964
downharpoonsleftright u2965
leftrightharpoonsup u2966
leftrightharpoonsdown u2967
rightleftharpoonsup u2968
rightleftharpoonsdown u2969
leftharpoonupdash u296a
dashleftharpoondown u296b
rightharpoonupdash u296c
dashrightharpoondown u296d
updownharpoonsleftright u296e
downupharpoonsleftright u296f
rightimply u2970
equalrightarrow u2971
similarrightarrow u2972
leftarrowsimilar u2973
rightarrowsimilar u2974
rightarrowapprox u2975
ltlarr u2976
leftarrowless u2977
gtrarr u2978
subrarr u2979
leftarrowsubset u297a
suplarr u297b
leftfishtail u297c
rightfishtail u297d
upfishtail u297e
downfishtail u297f
typecolon u2982
rtriltri u29ce
ltrivb u29cf
vbrtri u29d0
lfbowtie u29D1
rfbowtie u29D2
fbowtie u29D3
lftimes u29D4
rftimes u29D5 
dualmap u29DF 
lrtriangleeq u29E1 
eparsl u29E3 
smeparsl u29E4 
eqvparsl u29E5 
gleichstark u29E6 
ruledelayed u29F4 
veeonwedge u2A59 
eqdot u2A66 
dotequiv u2A67 
equivVert u2A68 
equivVvert u2A69 
dotsim u2A6A 
simrdots u2A6B 
simminussim u2A6C 
congdot u2A6D 
asteq u2A6E 
hatapprox u2A6F 
approxeqq u2A70
eqqsim u2A73
Coloneq u2A74 
eqeq u2A75 
eqeqeq u2A76 
ddotseq u2A77 
equivDD u2A78 
ltcir u2A79 
gtcir u2A7A 
ltquest u2A7B 
gtquest u2A7C 
leqslant u2A7D 
geqslant u2A7E 
lesdot u2A7F 
gesdot u2A80 
lesdoto u2A81 
gesdoto u2A82 
lesdotor u2A83 
gesdotol u2A84 
lessapprox u2A85 
gtrapprox u2A86 
lneq u2A87 
gneq u2A88 
lnapprox u2A88 
lnapprox u2A89 
gnapprox u2A8A 
lesseqqgtr u2A8B 
gtreqqless u2A8C 
lsime u2A8D 
gsime u2A8E 
lsimg u2A8F 
gsiml u2A90 
lgE u2A91 
glE u2A92 
lesges u2A93 
gesles u2A94 
eqslantless u2A95 
eqslantgtr u2A96 
elsdot u2A97 
egsdot u2A98 
eqqless u2A99 
eqqgtr u2A9A 
eqqslantless u2A9B 
eqqslantgtr u2A9C 
simless u2A9D 
simgtr u2A9E 
simlE u2A9F 
simgE u2AA0 
Lt u2AA1 
Gt u2AA2 
partialmeetcontraction u2AA3 
glj u2AA4 
gla u2AA5 
ltcc u2AA6 
gtcc u2AA7
lescc u2AA8 
gescc u2AA9 
smt u2AAA 
lat u2AAB 
smte u2AAC 
late u2AAD 
bumpeqq u2AAE 
preceq u2AAF 
succeq u2AB0 
precneq u2AB1 
succneq u2AB2 
preceqq u2AB3 
succeqq u2AB4 
precneqq u2AB5 
succneqq u2AB6 
precapprox u2AB7 
succapprox u2AB8 
precnapprox u2AB9 
succnapprox u2ABA 
Prec u2ABB 
Succ u2ABC 
subsetdot u2ABD 
supsetdot u2ABE 
subsetplus u2ABF 
supsetplus u2AC0 
submult u2AC1 
supmult u2AC2 
subedot u2AC3 
supedot u2AC4 
subseteqq u2AC5 
supseteqq u2AC6 
subsim u2AC7 
supsim u2AC8 
subsetapprox u2AC9 
supsetapprox u2ACA 
subsetneqq u2ACB 
supsetneqq u2ACC 
lsqhook u2ACD 
rsqhook u2ACE 
csub u2ACF 
csup u2AD0 
csube u2AD1 
csupe u2AD2 
subsup u2AD3 
supsub u2AD4 
subsub u2AD5 
supsup u2AD6 
suphsub u2AD7 
supdsub u2AD8 
forkv u2AD9 
topfork u2ADA 
mlcp u2ADB 
forks u2ADC 
forksnot u2ADD 
shortlefttack u2ADE 
shortdowntack u2ADF 
shortuptack u2AE0 
vDdash u2AE2 
dashV u2AE3 
Dashv u2AE4 
DashV u2AE5 
varVdash u2AE6 
Barv u2AE7 
vBar u2AE8 
vBarv u2AE9 
barV u2AEA 
Vbar u2AEB 
Not u2AEC 
bNot u2AED 
revnmid u2AEE 
cirmid u2AEF 
midcir u2AF0 
nhpar u2AF2 
parsim u2AF3 
lllnest u2AF7 
gggnest u2AF8 
leqqslant u2AF9 
geqqslant u2AFA 
circleonleftarrow u2B30 
leftthreearrows u2B31 
leftarrowonoplus u2B32 
longleftsquigarrow u2B33 
nvtwoheadleftarrow u2B34 
nVtwoheadleftarrow u2B35 
twoheadmapsfrom u2B36 
twoheadleftdbkarrow u2B37 
leftdotarrow u2B38 
nvleftarrowtail u2B39 
nVleftarrowtail u2B3A 
twoheadleftarrowtail u2B3B 
nvtwoheadleftarrowtail u2B3C 
nVtwoheadleftarrowtail u2B3D 
leftarrowx u2B3E 
leftcurvedarrow u2B3F 
equalleftarrow u2B40 
bsimilarleftarrow u2B41 
leftarrowbackapprox u2B42 
rightarrowgtr u2B43 
rightarrowsupset u2B44 
LLeftarrow u2B45 
RRightarrow u2B46 
bsimilarrightarrow u2B47 
rightarrowbackapprox u2B48 
similarleftarrow u2B49 
leftarrowapprox u2B4A 
leftarrowbsimilar u2B4B 
rightarrowbsimilar u2B4C 
mupAlpha u0391 
mupBeta u0392 
mupGamma u0393 
mupDelta u0394 
mupEpsilon u0395 
mupZeta u0396 
mupEta u0397 
mupTheta u0398 
mupIota u0399 
mupKappa u039A 
mupLambda u039B 
mupMu u039C 
mupNu u039D 
mupXi u039E 
mupOmicron u039F 
mupPi u03A0 
mupRho u03A1 
mupSigma u03A3 
mupTau u03A4 
mupUpsilon u03A5 
mupPhi u03A6 
mupChi u03A7 
mupPsi u03A8 
mupOmega u03A9 
mupalpha u03B1 
mupbeta u03B2 
mupgamma u03B3 
mupdelta u03B4 
mupvarepsilon u03B5 
mupzeta u03B6 
mupeta u03B7 
muptheta u03B8 
mupiota u03B9 
mupkappa u03BA 
muplambda u03BB 
mupmu u03BC 
mupnu u03BD 
mupxi u03BE 
mupomicron u03BF 
muppi u03C0 
muprho u03C1 
mupvarsigma u03C2 
mitA uD434 
mitB uD435 
mitC uD436 
mitD uD437 
mitE uD438 
mitF uD439 
mitG uD43A 
mitH uD43B 
mitI uD43C 
mitJ uD43D 
mitK uD43E 
mitL uD43F 
mitM uD440 
mitN uD441 
mitO uD443 
mitP uD444 
mitQ uD444 
mitR uD445 
mitS uD446 
mitT uD447 
mitU uD448 
mitV uD449 
mitW uD44A 
mitX uD44B 
mitY uD44C 
mitZ uD44D 
mita uD44E 
mitb uD44F 
mitc uD450 
mitd uD451 
mite uD452 
mitf uD453 
mitg uD454 
miti uD456 
mitj uD457 
mitk uD458 
mitl uD459 
mitm uD45A 
mitn uD45B 
mito uD45C 
mitp uD45D 
mitq uD45E 
mitr uD45F 
mits uD460 
mitt uD461 
mitu uD462 
mitv uD463 
mitw uD464 
mitx uD465 
mity uD466 
mitz uD467 
mitAlpha uD6E2 
mitBeta uD6E3 
mitGamma uD6E4 
mitDelta uD6E5 
mitEpsilon uD6E6 
mitZeta uD6E7 
mitEta uD6E8 
mitTheta uD6E9 
mitIota uD6EA 
mitKappa uD6EB 
mitLambda uD6EC 
mitMu uD6ED 
mitNu uD6EE 
mitXi uD6EF 
mitOmicron uD6F0 
mitPi uD6F1 
mitRho uD6F2 
mitvarTheta uD6F3 
mitSigma uD6F4 
mitTau uD6F5 
mitUpsilon uD6F6 
mitPhi uD6F7 
mitChi uD6F8 
mitPsi uD6F9 
mitOmega uD6FA 
mitalpha uD6FC 
mitbeta uD6FD 
mitgamma uD6FE 
mitdelta uD6FF 
mitvarepsilon uD700 
mitzeta uD701 
miteta uD702 
mittheta uD703 
mitiota uD704 
mitkappa uD705 
mitlambda uD706 
mitmu uD707 
mitnu uD708 
mitxi uD709 
mitomicron uD70A 
mitpi uD70B 
mscrA uD49C 
mscrC uD49E 
mscrD uD49F 
mscrG uD4A2 
mscrJ uD4A5 
mscrK uD4A6 
mscrN uD4A9 
mscrO uD4AA 
mscrP uD4AB 
mscrQ uD4AC 
mscrS uD4AE 
mscrT uD4AF 
mscrU uD4B0 
mscrV uD4B1 
mscrW uD4B2 
mscrX uD4B3 
mscrY uD4B4 
mscrZ uD4B5 
mscra uD4B6 
mscrb uD4B7 
mscrc uD4B8 
mscrd uD4B9 
mscrf uD4BB 
mscrh uD4BD 
mscri uD4BE 
mscrj uD4BF 
mscrk uD4C0 
mscrl uD4C1 
mscrm uD4C2 
mscrn uD4C3 
mscrp uD4C5 
mscrq uD4C6 
mscrr uD4C7 
mscrs uD4C8 
mscrt uD4C9 
mscru uD4CA 
mscrv uD4CB 
mscrw uD4CC 
mscrx uD4CD 
mscry uD4CE 
mscrz uD4CF 
mfrakA uD504 
mfrakB uD505 
mfrakD uD507 
mfrakE uD508 
mfrakF uD509 
mfrakG uD50A 
mfrakJ uD50D 
mfrakK uD50E 
mfrakL uD50F 
mfrakM uD510 
mfrakN uD511 
mfrakO uD512 
mfrakP uD513 
mfrakQ uD514 
mfrakS uD516 
mfrakT uD517 
mfrakU uD518 
mfrakV uD519 
mfrakW uD51A 
mfrakX uD51B 
mfrakY uD51C 
mfraka uD51E 
mfrakb uD51F 
mfrakc uD520 
mfrakd uD521 
mfrake uD522 
mfrakf uD523 
mfrakg uD524 
mfrakh uD525 
mfraki uD526 
mfrakj uD527 
mfrakk uD528 
mfrakl uD529 
mfrakm uD52A 
mfrakn uD52B 
mfrako uD52C 
mfrakp uD52D 
mfrakq uD52E 
mfrakr uD52F 
mfraks uD530 
mfrakt uD531 
mfraku uD532 
mfrakv uD533 
mfrakw uD534 
mfrakx uD535 
mfraky uD536 
mfrakz uD537 
BbbA uD538 
BbbB uD539 
BbbD uD53B 
BbbE uD53C 
BbbF uD53D 
BbbG uD53E 
BbbI uD540 
BbbJ uD541 
BbbK uD542 
BbbL uD543 
BbbM uD544 
BbbO uD546 
BbbS uD54A 
BbbT uD54B 
BbbU uD54C 
BbbV uD54D 
BbbW uD54E 
BbbX uD54F 
BbbY uD550 
Bbba uD552 
Bbbb uD553 
Bbbc uD554 
Bbbd uD555 
Bbbe uD556 
Bbbf uD557 
Bbbg uD558 
Bbbh uD559 
Bbbi uD55A 
Bbbj uD55B 
Bbbk uD55C 
Bbbl uD55D 
Bbbm uD55E 
Bbbn uD55F 
Bbbo uD560 
Bbbp uD561 
Bbbq uD562 
Bbbr uD563 
Bbbs uD564 
Bbbt uD565 
Bbbu uD566 
Bbbv uD567 
Bbbw uD568 
Bbbx uD569 
Bbby uD56A 
Bbbz uD56B 
msansA uD5A0 
msansB uD5A1 
msansC uD5A2 
msansD uD5A3 
msansE uD5A4 
msansF uD5A5 
msansG uD5A6 
msansH uD5A7 
msansI uD5A8 
msansJ uD5A9 
msansK uD5AA 
msansL uD5AB 
msansM uD5AC 
msansN uD5AD 
msansO uD5AE 
msansP uD5AF 
msansQ uD5B0 
msansR uD5B1 
msansS uD5B2 
msansT uD5B3 
msansU uD5B4 
msansV uD5B5 
msansW uD5B6 
msansX uD5B7 
msansY uD5B8 
msansZ uD5B9 
msansa uD5BA 
msansb uD5BB 
msansc uD5BC 
msansd uD5BD 
msanse uD5BE 
msansf uD5BF 
msansg uD5C0 
msansh uD5C1 
msansi uD5C2 
msansj uD5C3 
msansk uD5C4 
msansl uD5C5 
msansm uD5C6 
msansn uD5C7 
msanso uD5C8 
msansp uD5C9 
msansq uD5CA 
msansr uD5CB 
msanss uD5CC 
msanst uD5CD 
msansu uD5CE 
msansv uD5CF 
msansw uD5D0 
msansx uD5D1 
msansy uD5D2 
msansz uD5D3 
mitsansA uD608 
mitsansB uD609 
mitsansC uD60A 
mitsansD uD60B 
mitsansE uD60C 
mitsansF uD60D 
mitsansG uD60E 
mitsansH uD60F 
mitsansI uD610 
mitsansJ uD611 
mitsansK uD612 
mitsansL uD613 
mitsansM uD614 
mitsansN uD615 
mitsansO uD616 
mitsansP uD617 
mitsansQ uD618 
mitsansR uD619 
mitsansS uD61A 
mitsansT uD61B 
mitsansU uD61C 
mitsansV uD61D 
mitsansW uD61E 
mitsansX uD61F 
mitsansY uD620 
mitsansZ uD621 
mitsansa uD622 
mitsansb uD623 
mitsansc uD624 
mitsansd uD625 
mitsanse uD626 
mitsansf uD627 
mitsansg uD628 
mitsansh uD629 
mitsansi uD62A 
mitsansj uD62B 
mitsansk uD62C 
mitsansl uD62D 
mitsansm uD62E 
mitsansn uD62F 
mitsanso uD630 
mitsansp uD631 
mitsansq uD632 
mitsansr uD633 
mitsanss uD634 
mitsanst uD635 
mitsansu uD636 
mitsansv uD637 
mitsansw uD638 
mitsansx uD639 
mitsansy uD63A 
mitsansz uD63B 
mttA uD670 
mttB uD671 
mttC uD672 
mttD uD673 
mttE uD674 
mttF uD675 
mttG uD676 
mttH uD677 
mttI uD678 
mttJ uD679 
mttK uD67A 
mttL uD67B  
mttM uD67C 
mttN uD67D 
mttO uD67E 
mttP uD67F 
mttQ uD680  
mttR uD681 
mttS uD682 
mttT uD683 
mttU uD684 
mttV uD685 
mttW uD686
mttX uD687 
mttY uD688 
mttZ uD689 
mtta uD68A 
mttb uD68B 
mttc uD68C 
mttd uD68D 
mtte uD68E 
mttf uD68F 
mttg uD690 
mtth uD691 
mtti uD692 
mttj uD693 
mttk uD694 
mttl uD695 
mttm uD696 
mttn uD697 
mtto uD698 
mttp uD699 
mttq uD69A 
mttr uD69B 
mtts uD69C 
mttt uD69D 
mttu uD69E 
mttv uD69F 
mttw uD6A0 
mttx uD6A1 
mtty uD6A2 
mttz uD6A3 
mbfA uD400 
mbfB uD401 
mbfC uD402 
mbfD uD403 
mbfE uD404 
mbfF uD405 
mbfG uD406 
mbfH uD407 
mbfI uD408 
mbfJ uD409 
mbfK uD40A 
mbfL uD40B 
mbfM uD40C 
mbfN uD40D 
mbfO uD40E 
mbfP uD40F 
mbfQ uD410 
mbfR uD411 
mbfS uD412 
mbfT uD413 
mbfU uD414 
mbfV uD415 
mbfW uD416 
mbfX uD417 
mbfY uD418 
mbfZ uD419 
mbfa uD41A 
mbfb uD41B 
mbfc uD41C 
mbfd uD41D 
mbfe uD41E 
mbff uD41F 
mbfg uD420 
mbfh uD421 
mbfi uD422 
mbfj uD423 
mbfk uD424 
mbfl uD425 
mbfm uD426 
mbfn uD427 
mbfo uD428 
mbfp uD429 
mbfq uD42A 
mbfr uD42B 
mbfs uD42C 
mbft uD42D 
mbfu uD42E 
mbfv uD42F 
mbfw uD430 
mbfx uD431 
mbfy uD432 
mbfz uD433 
mbfAlpha uD6A8 
mbfBeta uD6A9 
mbfGamma uD6AA 
mbfDelta uD6AB 
mbfEpsilon uD6AC 
mbfZeta uD6AD 
mbfEta uD6AE 
mbfTheta uD6AF 
mbfIota uD6B0 
